CNT,SUBJECT,,COEF,COUNT,MEANESCS,MEANSCORE,RSQURED
Macao-China,READ,0,11.3551787989,26675,-0.880389369779,508.949255421,0.0144327834114
Macao-China,SCIE,0,12.8334354357,26675,-0.880389369779,520.570875334,0.0202468154371
Malaysia,MATH,0,29.8143317395,25985,-0.722383337998,420.512967619,0.134860965333
Malaysia,READ,0,22.8250334116,25985,-0.722383337998,398.196059788,0.0748530518669
Malaysia,SCIE,0,25.2974887063,25985,-0.722383337998,419.502648534,0.103753051975
Massachusetts (USA),MATH,0,49.3732857409,8615,0.436232048389,513.514056998,0.199870463878
Massachusetts (USA),READ,0,44.4412093571,8615,0.436232048389,527.091021267,0.158806412042
Massachusetts (USA),SCIE,0,48.9845620753,8615,0.436232048389,527.406936739,0.194730169582
Mexico,MATH,0,18.5860754488,169030,-1.10074932938,413.281466668,0.0987159385996
Mexico,READ,0,20.2079335364,169030,-1.10074932938,423.553761782,0.102230124287
Mexico,SCIE,0,17.9458161394,169030,-1.10074932938,414.920147715,0.101114722503
Montenegro,MATH,0,31.4627416183,23720,-0.244526181615,409.626613284,0.118642882475
Montenegro,READ,0,33.4253908332,23720,-0.244526181615,422.11135427,0.10674770408
Montenegro,SCIE,0,31.192841136,23720,-0.244526181615,410.097602263,0.111260875291
Netherlands,MATH,0,38.4827845502,22300,0.229958608691,522.971758193,0.107261566045
Netherlands,READ,0,37.9675407481,22300,0.229958608691,511.229965245,0.101327008596
Netherlands,SCIE,0,41.6334518365,22300,0.229958608691,522.055821726,0.116552953719
New Zealand,MATH,0,51.4656445758,21455,0.0384848111766,499.749902828,0.180353448036
New Zealand,READ,0,51.2392769741,21455,0.0384848111766,512.186793323,0.161085955126
New Zealand,SCIE,0,53.4455555368,21455,0.0384848111766,515.636318701,0.177836371399
Norway,MATH,0,32.9069447156,23430,0.451063167465,489.373070349,0.077985063977
Norway,READ,0,33.3502930227,23430,0.451063167465,503.936685996,0.0669865164245
Norway,SCIE,0,34.9550146605,23430,0.451063167465,494.523934741,0.0739589288504
Perm(Russian Federation),MATH,0,36.924686013,8805,-0.124184020413,483.580030803,0.0954177813626
Perm(Russian Federation),READ,0,42.8503613181,8805,-0.124184020413,482.309621403,0.11994962212
Perm(Russian Federation),SCIE,0,37.5784248174,8805,-0.124184020413,479.859030777,0.107381344233
Peru,MATH,0,32.3775356126,30175,-1.22811376944,368.102547127,0.223303227635
Peru,READ,0,35.7942383747,30175,-1.22811376944,384.151223462,0.223248214612
Peru,SCIE,0,28.7194526129,30175,-1.22811376944,373.113448374,0.205623425444
Poland,MATH,0,41.9306789792,23035,-0.206987495657,517.501096818,0.179451610427
Poland,READ,0,36.5811491544,23035,-0.206987495657,518.186880549,0.145926645012
Poland,SCIE,0,36.8045529613,23035,-0.206987495657,525.816445438,0.152756942464
Portugal,MATH,0,35.089437141,28610,-0.474610648623,487.063181344,0.194412616215
Portugal,READ,0,31.8479021992,28610,-0.474610648623,487.757687223,0.163514274473
Portugal,SCIE,0,32.0707041844,28610,-0.474610648623,489.274731982,0.182286555117
Qatar,MATH,0,26.5029327765,54830,0.422716508577,376.448398635,0.0560604641162
Qatar,READ,0,28.8531234989,54830,0.422716508577,387.504130932,0.0524191141161
Qatar,SCIE,0,27.7089807137,54830,0.422716508577,383.642553387,0.054268231027
Romania,MATH,0,37.7219302161,25370,-0.467702845037,444.554242788,0.190860272076
Romania,READ,0,38.0380693699,25370,-0.467702845037,437.599488277,0.159170084037
Romania,SCIE,0,34.108376715,25370,-0.467702845037,438.768056212,0.165829594902
Russian Federation,MATH,0,38.9327550714,26155,-0.104999644315,482.169415663,0.112183074689
Russian Federation,READ,0,42.9093804908,26155,-0.104999644315,475.149374067,0.122999805552
Russian Federation,SCIE,0,42.5030501035,26155,-0.104999644315,486.295489965,0.139370625756
Serbia,MATH,0,32.9671849244,23420,-0.291637347606,448.859130248,0.108977291972
Serbia,READ,0,28.576198958,23420,-0.291637347606,446.130195516,0.0791324907478
Serbia,SCIE,0,27.17477504,23420,-0.291637347606,444.804110871,0.0802408372279
Singapore,MATH,0,42.7517445669,27730,-0.25602659952,573.468314297,0.142380953674
Singapore,READ,0,41.8836487768,27730,-0.25602659952,542.215834174,0.148842687635
Singapore,SCIE,0,45.3695008977,27730,-0.25602659952,551.493156643,0.163571948634
Slovak Republic,MATH,0,55.3427453328,23390,-0.18158120594,481.644744006,0.249505851203
Slovak Republic,READ,0,55.4568590372,23390,-0.18158120594,462.76703277,0.237665175558
Slovak Republic,SCIE,0,56.3632845152,23390,-0.18158120594,471.193177266,0.261235372999
Slovenia,MATH,0,37.7420052869,29555,0.066540215758,501.127422391,0.128610229877
Slovenia,READ,0,37.4184896905,29555,0.066540215758,481.316283492,0.114471522679
Slovenia,SCIE,0,37.5786022592,29555,0.066540215758,514.142554966,0.121710448147
Spain,MATH,0,32.4665258542,126565,-0.188037655412,484.319297802,0.137139035846
Spain,READ,0,30.9048765017,126565,-0.188037655412,487.939181598,0.116836570982
Spain,SCIE,0,29.4234262178,126565,-0.188037655412,496.445822824,0.120841764088
Sweden,MATH,0,35.5970672923,23680,0.268230385104,478.260635903,0.105069028088
Sweden,READ,0,37.4907770484,23680,0.268230385104,483.335005574,0.0883157924347
Sweden,SCIE,0,38.024031236,23680,0.268230385104,484.798965809,0.102945811288
Switzerland,MATH,0,36.5393990906,56145,0.170535943094,530.93100395,0.118897606428
Switzerland,READ,0,35.495525871,56145,0.170535943094,509.040249713,0.121482503799
Switzerland,SCIE,0,37.7126902477,56145,0.170535943094,515.297523464,0.137371126492
Thailand,MATH,0,33.3187459349,33030,-1.34386389767,426.737491293,0.21225997327
Thailand,READ,0,28.0377497706,33030,-1.34386389767,441.21993431,0.183025609051
Thailand,SCIE,0,27.7309512922,33030,-1.34386389767,443.999935089,0.17829455589
Tunisia,MATH,0,21.7374433905,22035,-1.17280404405,387.82462962,0.124366595923
Tunisia,READ,0,21.0592434636,22035,-1.17280404405,404.07846725,0.0925655998027
Tunisia,SCIE,0,17.9902116654,22035,-1.17280404405,398.046450919,0.0842756082886
Turkey,MATH,0,32.5377935808,24240,-1.44408522997,447.984414979,0.149854638323
Turkey,READ,0,29.8930973226,24240,-1.44408522997,475.491466081,0.147664795341
Turkey,SCIE,0,24.5747575736,24240,-1.44408522997,463.412909073,0.113886012926
United Arab Emirates,MATH,0,33.886770831,57500,0.321738438197,434.007164658,0.104615524423
United Arab Emirates,READ,0,31.8201994235,57500,0.321738438197,441.703736076,0.0795040658997
United Arab Emirates,SCIE,0,33.8526141703,57500,0.321738438197,448.370295863,0.0952571592991
United Kingdom,MATH,0,39.4918742334,63295,0.264292744087,493.934230896,0.125628412679
United Kingdom,READ,0,38.390358257,63295,0.264292744087,499.32311513,0.115604899877
United Kingdom,SCIE,0,42.4222065599,63295,0.264292744087,514.129321055,0.130055548352
United States of America,MATH,0,35.1452089365,24890,0.171826137987,481.366786279,0.148434975074
United States of America,READ,0,33.1719046924,24890,0.171826137987,497.581718117,0.128315393967
United States of America,SCIE,0,35.796821955,24890,0.171826137987,497.409811483,0.141598817871
Uruguay,MATH,0,36.6037689069,26575,-0.876871196821,409.291567938,0.222599780979
Uruguay,READ,0,34.0772674463,26575,-0.876871196821,411.348919041,0.168682315774
Uruguay,SCIE,0,36.88430993,26575,-0.876871196821,415.84293549,0.195052296365
Vietnam,MATH,0,28.7772887708,24795,-1.80975301185,511.338207501,0.138822785758
Vietnam,READ,0,21.8294382469,24795,-1.80975301185,508.218990432,0.108399635685
Vietnam,SCIE,0,21.5969743071,24795,-1.80975301185,528.423258987,0.0960655775264
